*0138*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0138;145115287;1;0;191;1#2;50;
0138;145115288;1;0;30;1#2;50;
0138;145115289;1;0;30;1#2;50;
0138;145115290;1;0;230;1#2;50;
0138;145115291;1;0;55;1#2;50;
0138;145115292;1;0;275;1#2;50;
0138;145115293;1;0;76;1#2;50;
0138;145115294;1;0;401;1#2;50;
0138;145115295;1;0;96;1#2;50;
0138;145115296;1;0;252;1#2;50;
0138;145115297;1;0;47;1#2;50;
0138;145115298;1;0;156;1#2;50;
0138;145115299;1;0;646;1#2;50;
0138;145115300;1;0;1204;1#2;50;
0138;145115301;1;0;85;1#2;50;
0138;145115302;1;0;38;1#2;50;
0138;145115303;1;0;598;1#2;50;
0138;145115304;1;0;1031;1#2;50;
0138;145115305;1;0;146;1#2;50;
0138;145115306;1;0;185;1#2;50;
0138;145139614;1;0;182;1#2;30;
0138;145139615;1;0;127;1#2;30;
0138;145139616;1;0;84;1#2;30;
0138;145139617;1;0;90;1#2;30;
0138;145139618;1;0;266;1#2;30;
0138;145139619;1;0;21;1#2;30;
0138;145139620;1;0;92;1#2;30;
0138;276791258;1;0;89;1#2;30;
0138;276791259;1;0;53;1#2;30;
0138;203058336;1;0;30;1#2;30;
0138;145139623;1;0;19;1#2;30;
0138;276791260;1;0;94;1#2;30;
0138;276791260;2;7;94;1#2;30;
0138;276791261;1;0;46;1#2;30;
0138;276791262;1;0;374;1#2;30;
0138;276791263;1;0;21;1#2;30;
0138;145139626;2;20;71;1#2;30;
0138;145139627;1;0;119;1#2;30;
0138;145139628;1;0;18;1#2;30;
0138;145139629;1;0;19;1#2;30;
0138;145139630;1;0;10;1#2;30;
0138;145139631;1;0;29;1#2;30;
0138;145139632;1;0;47;1#2;30;
0138;145139633;1;0;68;1#2;30;
0138;145139634;1;0;64;1#2;30;
0138;145139635;1;0;46;1#2;30;
0138;145139636;1;0;106;1#2;30;
0138;145139637;1;0;75;1#2;30;
0138;145139638;1;0;78;1#2;30;
0138;145139639;1;0;223;1#2;30;
0138;145139640;1;0;114;1#2;30;
0138;145139641;1;0;126;1#2;30;
0138;145139642;1;0;40;1#2;30;
0138;203058337;1;0;80;1#2;30;
0138;203058338;1;0;3;1#2;30;
0138;203058339;1;0;152;1#2;30;
0138;145139644;1;0;111;1#2;30;
0138;145139645;1;0;96;1#2;30;
0138;145139646;1;0;71;1#2;30;
0138;145139647;1;0;39;1#2;30;
0138;145139648;1;0;167;1#2;30;
0138;145139649;1;0;158;1#2;30;
0138;145139650;1;0;48;1#2;30;
0138;145139651;1;0;188;1#2;30;
0138;145139652;1;0;220;1#2;30;
0138;145139653;1;0;51;1#2;30;
0138;145139654;1;0;133;1#2;30;
0138;145139655;1;0;13;1#2;30;
0138;145139656;1;0;28;1#2;30;
0138;145139657;1;0;62;1#2;30;
0138;145139658;1;0;454;1#2;30;
0138;145139659;1;0;616;1#2;30;
0138;145139660;1;0;15;1#2;30;
0138;145139661;1;0;439;1#2;30;
0138;145139662;1;0;172;1#2;30;
0138;145139663;1;0;63;1#2;30;
0138;145139664;1;0;64;1#2;30;
0138;145139665;1;0;67;1#2;30;
0138;145139666;1;0;84;1#2;30;
0138;145139667;1;0;109;1#2;30;
0138;145139668;1;0;54;1#2;30;
0138;145139669;1;0;65;1#2;30;
0138;145139670;1;0;271;1#2;30;
0138;145139671;1;0;584;1#2;30;
0138;145139672;1;0;51;1#2;30;
0138;145139673;1;0;175;1#2;30;
0138;145139674;1;0;120;1#2;30;
0138;145139675;1;0;133;1#2;30;
0138;145139676;1;0;47;1#2;30;
0138;145139677;1;0;53;1#2;30;
0138;145139678;1;0;7;1#2;30;
0138;145139679;1;0;39;1#2;30;
0138;145139680;1;0;106;1#2;30;
0138;145139681;1;0;221;1#2;30;
0138;145139682;1;0;247;1#2;30;
0138;276791264;1;0;685;1#2;30;
0138;276791265;1;0;45;1#2;30;
0138;145139684;1;0;944;1#2;30;
0138;145139685;1;0;54;1#2;30;
0138;145139686;1;0;53;1#2;30;
0138;145139687;1;0;74;1#2;30;
0138;145139688;1;0;46;1#2;30;
0138;145139689;1;0;94;1#2;30;
