*0301*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0301;145303592;1;0;1105;1#3;4.5;
0301;145303593;1;0;145;1#3;4.5;
0301;145303594;1;0;13;1#3;4.5;
0301;145303595;1;0;10;1;4.5;
0301;145303597;1;0;12;1;4.5;
0301;145303769;1;0;52;1;4.2;
0301;257271443;2;0;213;1#3#5;4.5;
0301;145303797;1;0;753;1#3#5;4.5;
0301;145303798;1;0;293;1#3#5;4.5;
0301;145303799;1;0;482;1#3#5;4.5;
0301;145303803;1;0;405;1#3#5;4.5;
0301;145303811;1;0;569;1#2;4.2;
0301;145303811;1;0;569;3#4;4.1;
0301;145303923;1;0;50;1;4.2;
0301;145303924;1;0;157;1;4.2;
0301;145304031;1;0;204;1#3;4.3;
0301;145304198;2;7;19;1#3;4.5;
0301;145304199;1;0;154;1#3;4.5;
0301;145304200;1;0;323;1#3;4.5;
0301;145304201;1;0;846;1#3;4.5;
0301;145304202;1;0;30;1#3;4.5;
0301;145304239;1;0;621;1#2;4.5;
0301;145304239;1;0;621;3#4;4.5;
0301;145304242;1;0;501;1#3;4.5;
0301;145304266;1;0;1074;1#3;4.5;
0301;145304267;1;0;8;1#3;4.5;
0301;145304268;1;0;86;1#3;4.5;
0301;145304271;2;164;172;1#3;4.5;
0301;145304272;1;0;4;1#3;4.5;
0301;145304273;1;0;25;1#3;4.5;
0301;145304274;1;0;17;1#3;4.5;
0301;145304275;1;0;94;1#3;4.5;
0301;145304315;1;0;11;1;4.5;
0301;145304323;1;0;114;1#2;4.5;
0301;145304633;1;0;43;1#2;3.9;
0301;145304648;1;0;43;1#3;4.5;
0301;237414466;1;0;101;3#5;4.4;
0301;237414466;1;0;101;1#2;4.4;
0301;145304652;1;0;27;1#3;4.3;
0301;145304655;1;0;74;3#4;4.5;
0301;145304655;1;0;74;1#2;4.5;
0301;145304658;1;0;17;3#4;4.5;
0301;145304662;2;79;257;1#3;4.5;
0301;145304663;1;0;3;1#3;4.5;
0301;145304664;1;0;54;1#3;4.5;
0301;145304691;1;0;3;1;4.4;
0301;145304692;1;0;3;1;4.5;
0301;145304729;1;0;6;3#4;4.5;
0301;145304729;1;0;6;1#2;4.5;
0301;145304819;1;0;1231;1#2;4.4;
0301;145304819;1;0;1231;3#4;4.3;
0301;145304984;1;0;195;1#2;4.5;
0301;145305015;2;77;84;1#3;4.5;
0301;145305016;1;0;39;1#3;4.5;
0301;145305017;1;0;780;1#3;4.5;
0301;145305018;1;0;7;1#3;4.5;
0301;145305027;1;0;11;1#3;4.5;
0301;145306671;1;0;650;1#2;4.4;
0301;145306736;1;0;279;2#4;4.5;
0301;145306744;1;0;77;2#4;4.5;
0301;145306784;1;0;420;10K;3.6;
0301;145306803;2;217;218;2#4;4.5;
0301;145306804;1;0;1105;2#4;4.5;
0301;145306805;1;0;145;2#4;4.5;
0301;145306883;1;0;52;2#4;4.2;
0301;257271445;2;0;213;2#4#6;4.5;
0301;145306908;1;0;6;2#4#6;4.5;
0301;145306909;1;0;747;2#4#6;4.5;
0301;145306910;1;0;293;2#4#6;4.5;
0301;145306911;1;0;478;2#4#6;4.5;
0301;145306912;1;0;4;2#4#6;4.5;
0301;145306915;1;0;405;2#4#6;4.5;
0301;145306923;1;0;261;1#2;4.2;
0301;145306923;1;0;261;3#4;4.1;
0301;145306981;1;0;50;2#2H1;4.2;
0301;145306982;1;0;157;2;4.2;
0301;145307081;1;0;209;2#4;4.3;
0301;145307185;2;8;140;2#4;4.5;
0301;145307186;1;0;298;2#4;4.5;
0301;145307190;1;0;78;6K;4.2;
0301;145307208;2;7;30;2#4;4.5;
0301;145307209;1;0;143;2#4;4.5;
0301;145307210;1;0;323;2#4;4.5;
0301;145307211;1;0;846;2#4;4.5;
0301;145307212;1;0;30;2#4;4.5;
0301;145307238;1;0;83;6;4.5;
0301;145307238;1;0;83;6H1;4.2;
0301;145307245;1;0;621;1#2;4.5;
0301;145307245;1;0;621;3#4;4.5;
0301;145307248;1;0;501;2#4;4.5;
0301;145307272;1;0;1074;2#4#6;4.5;
0301;145307273;1;0;85;2#4#6;4.5;
0301;145307274;1;0;9;2#4#6;4.5;
0301;145307277;2;164;167;2#4;4.5;
0301;145307278;1;0;5;2#4;4.5;
0301;145307279;1;0;26;2#4;4.5;
0301;145307280;1;0;3;2#4;4.5;
0301;145307281;1;0;17;2#4;4.5;
0301;145307282;1;0;94;2#4;4.5;
0301;145307289;1;0;114;1#2;4.5;
0301;145307579;1;0;43;1#2;3.9;
0301;145307588;1;0;43;2#4;4.5;
0301;237414468;1;0;101;1#2;4.4;
0301;145307593;1;0;27;2V1#4#6K;4.3;
0301;145307596;1;0;74;3#4;4.5;
0301;145307596;1;0;74;1#2;4.5;
0301;145307599;1;0;17;3#4;4.5;
0301;145307656;1;0;136;3#4;4.5;
0301;145307656;1;0;136;1#2;4.5;
0301;145307664;2;69;70;4H1;4.5;
0301;145307748;1;0;1231;1#2;4.4;
0301;145307748;1;0;1231;3#4;4.3;
0301;145307862;1;0;193;1#2;4.5;
0301;145307889;2;7;14;2#4#6;4.5;
0301;145307890;1;0;39;2#4#6;4.5;
0301;145307891;1;0;783;2#4#6;4.5;
0301;145307892;1;0;4;2#4#6;4.5;
